House Size (Acres),Number of Bedrooms,Number of Bathrooms,Year Built,Distance from City Center (km),Price (Lakhs to Crores)
4.96,2,2,1967,16.66,785.45
0.15,2,2,1972,30.73,330.14
1.37,3,2,2009,48.45,434.51
3.35,6,3,1974,8.41,565.12
0.59,6,4,1983,1.8,510.31
4.14,1,1,2015,12.99,245.02
0.25,4,2,1981,20.38,652.36
3.01,6,1,2009,31.16,288.75
3.81,2,1,1964,8.06,485.19
2.47,3,3,1953,9.06,245.64
1.39,5,2,2001,26.11,281.62
2.85,6,2,1997,23.97,420.15
4.39,6,3,1954,16.33,119.54
4.22,5,3,2021,3.73,891.86
4.24,6,4,1953,39.71,299.02
1.84,3,4,1999,12.23,994.44
3.82,2,1,2011,32.46,49.13
2.96,5,3,1992,46.82,186.5
4.96,3,4,2020,49.67,506.13
0.15,3,2,2017,26.79,739.06
0.94,6,4,1968,38.35,632.74
1.74,5,4,2004,43.63,121.14
3.9,5,4,1991,9.02,483.12
2.62,3,4,1960,6.79,25.46
2.5,6,3,1958,44.68,422.06
4.85,4,4,1967,20.31,617.92
1.12,2,3,1976,35.26,106.71
4.14,4,4,1960,10.45,41.77
3.13,1,1,1971,49.05,434.61
1.09,3,1,2004,30.55,718.86
4.4,6,1,2006,7.56,220.22
0.66,6,1,1985,7.43,750.45
2.72,1,4,2009,20.98,118.73
2.63,2,2,1989,4.47,868.84
1.28,2,3,1965,18.85,414.9
3.87,5,2,1960,22.52,515.55
1.9,1,3,1974,12.44,649.89
2.79,2,4,2015,22.14,794.1
4.66,5,3,2011,19.55,640.88
4.16,5,2,1958,39.0,542.34
3.67,6,3,2013,48.55,574.35
3.68,2,3,2018,46.31,903.35
0.94,3,3,2017,31.75,984.61
2.74,4,1,2003,41.71,734.37
4.74,6,4,1990,11.57,121.9
4.08,4,2,2008,29.51,386.96
4.94,6,2,1952,7.15,644.5
1.55,6,2,2019,4.15,793.48
3.92,3,3,1997,30.74,354.53
3.7,5,3,1952,17.34,608.45
1.81,3,4,1969,32.22,322.34
2.73,4,4,1984,27.34,130.24
1.0,5,3,1966,26.51,293.33
0.44,6,2,1988,11.64,741.98
1.28,2,3,1951,41.28,971.23
3.65,4,3,1989,3.8,999.46
0.48,2,2,1983,18.47,83.09
3.33,1,2,1977,45.16,574.19
4.85,5,1,1952,7.01,586.74
1.65,6,2,1993,35.66,312.49
3.62,3,3,2006,30.63,183.65
2.1,2,2,1960,2.1,889.82
1.52,3,3,2022,24.26,964.72
3.28,4,4,2003,4.85,307.4
2.98,2,1,1975,47.27,982.11
0.51,4,4,1963,33.33,118.5
1.35,2,1,1994,39.77,827.64
2.83,2,1,1997,23.09,129.21
3.82,3,3,1950,19.55,770.28
4.16,4,2,1973,1.93,716.03
4.74,4,1,2019,45.55,204.72
2.74,2,2,2019,5.12,882.85
0.16,6,4,1966,6.07,22.97
4.02,2,3,1961,3.63,865.14
4.48,1,4,1976,25.46,845.29
1.2,6,1,1979,11.03,914.01
3.28,1,4,2012,19.47,66.85
0.31,4,3,1952,5.83,612.37
2.3,3,2,2022,27.39,609.83
2.62,6,1,2004,43.42,643.54
1.12,4,2,2004,37.28,236.45
3.81,2,3,1986,41.99,562.8
4.11,4,3,1995,38.11,551.72
2.1,3,2,2000,3.99,787.54
3.56,6,2,2003,33.41,364.19
0.54,1,3,2012,20.28,834.43
3.35,5,4,1952,16.18,51.76
4.66,5,4,1962,6.05,290.21
0.41,1,3,1967,22.44,708.45
4.25,5,2,2020,3.38,141.68
1.89,4,1,1961,28.19,611.13
3.85,5,1,2022,13.58,229.64
1.68,2,3,2005,21.25,398.83
1.14,4,1,1957,39.76,839.25
1.48,2,1,1986,21.89,310.18
2.96,2,4,1974,19.69,603.75
4.76,1,4,1967,42.35,99.88
0.41,1,3,1983,8.03,608.75
1.61,5,3,1989,26.75,518.15
2.76,4,3,1954,30.99,443.73
0.98,4,1,1997,11.25,616.3
4.62,4,1,2014,32.28,356.47
4.37,2,1,1974,29.19,436.06
2.76,3,1,1969,38.51,75.39
0.84,5,2,1955,46.78,621.18
3.62,6,1,1964,39.94,194.99
2.46,1,3,2014,26.75,656.2
3.04,1,1,1960,27.58,495.95
4.13,4,1,1950,10.08,412.15
2.72,2,2,1972,1.77,794.71
0.2,1,2,2018,42.56,801.44
3.33,4,3,1990,9.0,227.9
0.42,3,4,1962,30.27,500.05
2.89,1,2,2020,23.71,403.44
3.66,4,4,1996,17.05,845.35
2.04,1,2,1989,45.69,286.23
0.79,1,4,2006,44.29,129.21
2.76,4,1,1996,36.91,237.52
2.33,2,4,1990,26.85,725.17
1.07,3,3,1968,13.18,188.2
3.28,5,4,1970,41.93,358.82
4.98,5,4,1985,48.3,105.28
3.9,1,3,2008,48.0,640.5
2.65,1,3,1952,48.96,966.05
4.22,6,4,1983,36.26,430.88
1.73,1,1,2015,7.4,722.48
1.86,5,1,2009,41.21,54.55
2.52,4,4,1965,37.51,584.91
2.84,6,4,1970,39.42,658.76
2.21,5,1,1953,3.79,96.46
4.18,1,1,1960,46.75,857.28
1.36,2,1,1977,10.5,246.97
3.08,6,3,1992,5.27,784.91
1.98,3,2,1988,24.03,646.16
0.61,1,4,1992,45.39,570.88
4.8,3,3,1954,44.38,373.14
3.62,5,2,1968,27.14,547.72
1.53,1,1,2000,1.25,713.92
2.99,3,1,1985,43.04,107.15
3.17,2,1,1980,28.12,911.78
1.31,6,1,2015,8.52,591.89
3.19,4,3,1969,21.56,246.29
2.76,5,2,2022,34.33,524.35
3.85,1,4,1958,8.69,806.94
3.82,6,4,1987,15.97,568.34
0.88,5,4,1998,27.02,832.16
1.85,3,4,2001,22.45,569.94
1.69,3,4,2018,27.61,295.7
2.31,5,1,1995,42.26,428.31
2.64,2,4,1970,33.34,485.4
2.74,1,4,1954,41.36,774.49
1.43,3,3,1988,48.34,656.77
2.64,1,2,1972,45.36,688.17
4.45,2,3,2007,13.78,712.86
1.69,4,4,1964,44.09,498.79
2.17,3,1,2007,15.08,664.27
2.5,3,2,2001,40.64,670.25
3.55,5,3,2014,42.63,420.29
3.97,4,3,2012,45.65,892.92
3.43,5,4,1987,25.05,321.77
1.83,3,1,2007,33.57,358.74
4.01,5,3,1965,48.03,426.93
4.24,5,2,2010,45.13,122.38
4.78,2,2,1982,36.61,868.36
2.91,4,4,1975,47.15,530.1
2.95,2,4,2010,23.67,864.26
4.56,1,2,1990,15.71,861.99
1.71,4,2,2022,28.84,932.44
0.33,5,4,1996,22.75,949.77
0.32,5,1,1973,39.63,741.4
2.39,3,4,2022,32.48,125.91
1.84,6,1,1973,7.02,301.46
1.49,4,3,2018,13.07,444.11
1.98,2,2,1954,22.77,937.72
2.64,3,2,1976,9.87,570.79
0.33,1,4,1988,28.7,758.84
1.19,6,1,1965,29.43,685.53
0.44,3,2,1950,45.5,646.8
2.63,6,4,1960,25.12,604.35
0.23,3,1,2017,26.4,73.07
3.69,2,3,1993,27.28,614.91
0.24,6,2,1999,27.97,72.59
2.79,3,2,2004,28.62,222.3
2.33,1,3,2001,8.83,470.26
1.1,2,2,2004,26.31,242.72
3.09,5,2,1961,23.66,760.87
4.85,1,1,1951,40.34,685.32
0.38,3,4,1962,34.87,789.77
4.69,2,2,2009,10.36,169.2
1.04,3,1,2015,34.73,986.96
4.25,3,2,2006,13.14,131.9
2.32,3,1,2002,47.28,531.16
2.82,2,2,1959,46.37,100.24
0.4,5,1,1976,16.78,802.2
1.71,6,3,1959,43.41,573.95
4.67,4,2,1993,1.19,601.45
1.39,6,3,1998,11.63,590.23
0.44,6,3,2020,9.32,906.76
4.51,2,2,2005,40.55,470.31
0.63,5,1,1958,40.87,956.06
4.21,6,4,1954,10.19,318.79
3.76,3,4,2015,41.71,74.58
3.01,2,1,1968,28.22,173.23
1.03,3,3,2019,3.8,705.23
1.52,5,4,1957,2.09,305.67
2.79,1,1,1977,25.76,858.86
0.28,6,2,2020,47.24,110.66
1.8,4,4,2014,3.67,611.2
4.1,5,2,2005,34.24,72.65
1.83,1,3,2022,11.34,533.33
1.85,6,1,2015,17.9,495.1
2.07,4,1,2011,5.18,75.79
1.43,5,2,1953,23.49,910.23
2.3,2,3,1983,21.48,201.69
4.91,1,4,1995,32.25,589.01
4.81,2,1,1981,34.08,738.18
4.3,5,2,1953,39.78,602.49
4.82,5,2,1995,22.96,364.46
0.99,1,1,2005,34.39,478.68
4.53,4,1,2018,20.4,148.87
0.69,2,3,1962,43.98,362.48
4.34,3,2,2020,26.44,580.38
4.11,6,3,1971,47.42,317.85
2.56,1,3,1971,46.99,637.58
0.6,5,1,1998,22.43,877.94
3.85,1,2,1957,37.58,418.38
2.67,4,4,2019,45.46,686.38
2.75,2,1,2013,4.35,479.07
4.26,4,2,1990,39.48,639.68
2.93,2,1,1977,37.75,716.56
4.53,3,1,2007,49.76,920.27
4.75,6,1,1952,2.89,860.38
4.16,4,3,1965,29.72,994.98
1.66,3,1,1975,46.23,207.06
4.62,2,4,1982,34.14,428.98
0.96,6,1,1956,38.01,200.72
4.83,2,1,1962,4.79,460.48
3.82,1,3,1998,14.2,789.41
0.23,3,4,1990,1.8,886.11
4.92,3,2,2007,31.4,59.39
0.19,6,3,2022,16.17,286.19
2.68,5,1,1981,26.27,786.86
1.52,5,4,1980,29.03,275.53
1.84,3,4,1993,35.81,747.92
1.52,4,1,1994,6.05,237.02
0.16,2,4,1973,43.94,351.45
2.41,6,4,1955,29.74,310.27
4.16,5,4,1962,16.97,819.71
4.64,5,1,1999,43.14,694.45
3.96,1,4,2021,7.87,547.42
3.27,2,3,2019,44.96,864.28
0.3,6,3,1964,23.3,544.96
0.9,1,1,2020,32.11,738.44
2.39,2,3,1970,19.8,737.37
1.45,2,1,1958,5.25,898.69
0.99,6,2,2015,6.0,286.55
3.71,3,1,2004,6.1,670.83
3.03,1,1,1988,27.34,752.58
0.5,3,3,1963,3.44,867.58
2.64,2,3,2020,43.88,344.23
4.36,6,1,1980,9.65,394.07
1.43,2,2,1958,26.66,995.97
4.93,1,2,2020,46.27,998.03
1.11,3,3,1982,45.31,17.4
4.46,6,4,1981,11.24,436.41
3.17,5,3,2015,27.11,348.31
3.37,1,4,1999,36.65,904.99
4.97,2,3,1998,6.23,514.6
4.54,4,3,1954,13.85,507.88
3.88,1,4,1957,45.51,432.88
3.92,3,3,1954,27.03,45.36
1.51,6,4,2006,1.58,688.94
1.29,1,1,1963,36.76,938.53
2.9,6,3,1985,49.8,502.89
3.71,2,4,1951,35.13,43.77
0.63,2,3,1979,21.16,519.62
4.44,5,4,2014,44.46,723.14
3.73,3,4,2019,27.87,795.42
4.78,1,4,1974,31.94,16.84
3.43,1,1,2009,26.17,48.43
4.48,2,4,2018,45.34,940.37
2.54,3,4,1951,17.16,846.57
0.46,5,2,2010,23.18,923.51
2.42,4,3,2015,47.48,680.34
3.37,1,2,2007,30.56,367.52
4.33,4,1,2006,47.37,792.68
0.63,4,2,1961,16.52,804.51
4.92,3,1,1960,2.39,163.06
2.26,1,3,1962,20.24,861.95
4.66,2,1,2004,25.83,396.04
3.06,1,1,1986,34.99,329.2
1.4,6,1,1968,36.73,409.28
0.91,5,3,2020,30.54,594.06
1.06,6,3,1960,30.02,668.48
3.25,4,3,1952,16.74,225.4
3.18,3,1,2011,48.71,897.02
0.68,6,4,1985,33.19,382.12
3.98,3,2,1997,21.28,628.63
2.49,4,2,1986,17.67,160.38
1.49,3,2,1973,12.36,150.51
2.83,6,2,1956,48.54,934.79
1.05,1,1,1951,26.02,261.44
0.52,5,1,2010,23.53,260.74
0.3,4,1,1985,5.76,744.55
0.68,2,3,1979,31.53,482.15
2.93,5,3,2005,25.43,433.42
1.59,3,2,2000,30.67,870.46
3.15,4,1,1971,1.82,816.37
2.66,4,3,1968,19.62,235.59
1.14,5,3,1989,23.96,415.61
1.03,3,4,1972,5.13,633.03
1.55,2,4,1959,10.07,679.01
3.71,5,4,2006,19.89,747.81
1.21,1,3,1979,4.32,932.41
4.2,6,2,2010,45.85,141.37
1.05,1,3,2005,32.51,742.65
4.89,1,3,1968,3.8,357.39
0.27,1,2,1976,17.49,456.2
4.12,5,1,2000,27.94,434.83
1.01,3,2,1986,13.83,428.02
1.91,2,2,1969,7.73,716.17
4.25,3,1,2021,31.68,726.12
2.47,4,1,1957,19.69,169.68
0.91,3,1,1968,16.45,426.08
3.7,1,1,2002,40.34,542.68
2.53,4,3,1975,36.57,884.44
3.2,2,3,1975,26.53,309.0
0.2,3,4,1983,31.71,674.4
3.27,2,1,1995,21.6,268.7
4.27,3,4,1962,13.98,451.81
3.78,4,4,1982,27.48,674.71
0.13,4,4,1990,46.87,909.85
4.35,1,3,1984,47.67,523.41
1.65,3,3,1994,29.73,780.34
1.39,6,1,1991,6.15,629.02
3.98,4,3,1962,1.5,277.55
0.17,3,4,1990,28.36,311.38
2.75,3,2,1951,15.97,912.34
3.91,2,3,1964,20.39,804.21
4.58,4,1,2016,35.83,974.83
4.62,5,3,2015,1.98,283.16
1.82,3,3,2004,32.49,852.23
1.62,1,4,1961,32.43,275.35
2.48,2,3,2001,32.59,497.63
0.18,6,4,1957,6.4,963.3
3.64,4,4,2008,5.15,299.19
4.48,1,4,1988,7.07,606.43
3.24,5,1,1964,10.78,18.42
4.03,4,2,1962,9.44,351.87
2.59,6,2,1978,11.96,188.82
1.25,2,4,2002,9.1,598.05
3.57,2,4,1997,28.05,26.28
4.42,1,2,2003,2.21,453.79
3.0,2,2,1990,20.05,167.63
0.29,1,4,1974,23.93,465.93
1.02,4,3,1995,35.7,356.85
1.66,2,3,2014,7.61,118.86
3.13,4,1,2001,19.83,872.0
0.49,6,3,2022,20.58,636.25
2.4,2,1,1991,49.77,138.5
0.47,2,1,1985,33.37,960.33
1.17,2,4,1975,9.4,189.42
3.17,4,3,2011,32.42,714.62
0.55,5,2,1984,34.99,399.35
2.34,6,3,1976,37.21,691.44
4.77,3,3,1995,3.45,352.76
4.6,5,3,1978,19.75,799.41
4.83,4,3,1982,21.24,433.59
3.43,5,1,1997,27.39,867.2
2.43,5,4,2002,41.92,665.11
0.39,6,3,1959,42.48,535.52
4.48,6,3,2014,21.09,578.3
2.16,6,3,1980,6.15,383.18
4.92,1,3,1990,8.39,379.52
1.68,2,1,1952,7.97,410.3
0.68,6,3,2003,20.85,204.58
0.36,2,1,2016,44.55,745.56
4.72,4,4,1983,47.95,477.74
1.2,4,3,1972,43.45,223.45
2.48,1,4,1956,16.66,654.06
1.52,2,3,1955,41.21,491.53
0.82,3,1,1966,21.67,997.68
4.87,4,1,2002,22.03,421.71
1.44,1,3,1972,38.45,250.64
4.76,5,4,2021,6.23,956.3
2.79,3,1,1985,4.11,971.29
0.23,2,3,1984,19.34,197.08
1.92,1,1,2021,49.86,186.71
2.07,3,1,1980,26.9,469.34
2.16,6,3,1995,28.46,818.58
4.68,2,3,2014,37.24,776.37
2.13,4,1,1969,12.98,195.84
4.36,6,2,2017,45.03,339.44
4.78,1,3,1982,37.48,960.02
2.66,1,1,1988,28.29,879.65
3.1,3,4,1987,19.0,283.21
4.35,5,1,1988,27.29,77.66
3.96,6,1,1984,31.17,50.55
1.14,4,3,1961,15.16,786.72
2.07,2,1,2018,30.79,112.17
3.36,5,4,1998,30.35,500.43
2.22,2,2,2022,24.77,596.85
0.9,1,3,2019,27.87,411.35
4.98,3,4,1964,39.32,474.37
1.9,3,2,1963,23.19,881.2
3.55,1,3,1999,27.6,676.18
0.49,4,3,1994,11.69,429.14
3.63,4,4,1999,13.81,29.62
1.17,6,4,1955,4.06,850.51
3.01,3,1,1974,36.45,975.85
4.01,1,2,2017,1.16,405.69
0.15,6,3,2014,6.89,598.71
0.87,6,1,2011,46.09,366.54
0.56,1,1,1967,10.82,583.61
3.28,4,1,1975,21.63,885.8
1.32,5,4,1994,37.58,836.96
2.39,5,1,2003,49.7,136.18
4.04,2,4,1982,10.08,203.7
4.61,6,3,2015,47.42,880.05
3.59,2,3,1998,33.74,360.38
1.03,4,1,1995,26.66,125.98
0.74,5,3,1997,15.61,914.5
0.68,5,2,1956,11.38,518.51
4.77,3,3,2011,29.6,933.55
3.47,6,4,1995,46.6,768.54
0.15,6,2,1959,31.8,305.82
4.35,4,3,1993,21.71,707.14
0.32,6,2,1994,44.36,952.16
3.73,5,4,2016,3.1,620.51
3.9,3,3,1999,19.23,345.57
4.56,4,1,1997,46.22,859.55
1.03,6,3,1999,24.59,684.19
3.59,1,1,1981,40.63,973.05
0.6,3,2,1982,28.84,488.91
0.11,1,4,1997,12.59,135.29
3.67,5,1,1955,37.94,620.23
0.84,6,1,2000,37.67,528.94
0.33,5,3,1988,27.19,374.82
1.1,4,1,2015,19.44,842.7
4.53,6,2,1965,3.08,951.07
2.43,3,3,2003,47.93,625.13
1.23,6,1,1999,42.56,549.39
2.61,2,2,2015,25.0,757.78
3.22,2,4,2006,40.02,813.18
1.06,2,1,1991,41.68,173.16
2.8,3,1,1962,44.29,228.71
2.85,3,3,1962,17.61,906.89
1.16,5,1,2017,17.93,754.68
3.6,2,1,2022,26.72,500.86
3.83,5,1,1986,21.09,817.63
2.37,2,1,1986,3.22,94.85
2.38,2,1,2018,13.33,838.24
3.3,1,2,1989,31.13,120.51
2.33,2,2,1982,33.5,917.56
1.57,3,2,1963,29.14,55.04
2.78,3,1,1970,41.94,686.0
3.01,5,3,1956,31.7,534.67
3.02,6,3,2009,38.71,748.22
3.19,3,1,1990,24.74,674.42
2.41,1,1,1981,2.81,432.49
3.33,6,1,2013,26.77,753.37
2.61,1,1,1974,2.29,446.64
3.42,4,2,2008,46.48,457.67
2.64,3,2,1967,20.45,299.2
1.39,5,1,1989,10.33,630.97
0.87,4,1,1997,39.38,472.21
4.01,2,3,1974,25.19,826.79
4.48,4,1,1962,29.08,698.72
0.74,3,1,1995,14.4,998.36
4.68,2,1,1990,17.3,872.86
3.66,2,1,1959,27.22,57.91
0.17,2,4,1979,29.31,274.61
1.75,6,2,2002,9.92,855.39
3.36,5,3,2017,9.05,336.19
3.29,2,1,1962,49.17,901.21
4.93,4,1,1963,19.53,616.26
0.76,4,1,1972,16.92,698.83
2.83,3,4,1974,28.88,762.26
1.93,5,3,2008,7.84,748.28
2.74,6,1,1984,43.86,375.11
4.82,1,3,1958,37.45,808.12
0.52,3,2,2016,19.39,140.21
3.57,5,2,1990,33.49,66.09
1.79,4,2,2003,31.3,69.92
2.54,1,4,1958,28.97,16.9
2.23,4,4,1995,3.86,184.84
3.92,5,3,1988,16.63,179.94
2.93,2,1,1989,37.07,322.19
3.64,4,3,1983,19.33,853.03
4.64,2,1,2014,20.17,236.59
3.01,1,2,1989,41.29,933.23
4.56,1,4,1984,32.15,374.82
1.31,3,2,1962,25.2,267.13
3.56,5,3,1952,15.38,619.56
1.45,4,1,1958,11.27,398.69
4.74,3,3,1992,16.74,462.39
2.61,4,4,1953,4.24,156.07
1.63,2,4,1950,26.61,195.11
0.58,1,4,2001,48.85,822.24
2.43,1,1,1983,19.08,989.63
1.42,5,1,1979,1.13,612.62
1.46,4,2,1953,7.03,584.36
3.62,2,3,2005,4.7,633.34
1.73,2,3,1950,26.73,868.41
3.83,4,3,1961,37.48,43.08
0.63,2,1,2018,37.33,857.07
3.75,1,4,1981,40.68,284.62
0.41,1,4,1953,41.74,935.82
0.89,3,4,1999,16.2,836.79
0.87,3,4,2000,5.98,729.3
1.26,1,1,1998,15.1,55.81
2.91,4,4,2010,21.14,428.35
3.06,6,2,2021,18.77,597.67
0.73,3,2,1965,27.35,872.51
2.82,3,1,1969,34.29,323.55
2.22,1,3,1993,27.64,211.97
4.87,3,3,1982,39.29,842.91
3.04,5,4,2001,49.84,504.05
2.61,4,2,1990,16.48,664.09
0.31,4,2,2019,1.27,735.65
3.83,5,4,1983,27.46,280.6
4.26,4,3,1951,5.88,513.24
2.78,4,4,2007,29.74,176.7
3.01,4,2,1981,46.75,293.91
0.39,3,4,1990,48.79,171.74
1.68,2,4,2002,22.2,963.8
3.04,6,4,2018,23.98,415.1
2.38,1,3,1983,45.15,68.05
1.17,1,4,1957,19.82,474.98
4.59,4,3,1994,45.73,906.54
4.97,4,2,1954,9.69,567.12
1.57,3,1,1992,37.63,264.64
2.6,6,1,1956,24.7,460.57
0.33,4,3,1974,23.51,735.18
0.34,4,4,1987,45.41,762.73
4.96,2,3,2017,34.63,822.03
1.21,2,2,1987,2.36,66.51
0.49,4,4,1971,25.43,986.17
0.13,4,3,2017,35.25,920.89
2.19,5,3,2001,13.41,36.31
1.84,6,3,1969,28.43,527.52
0.12,3,3,1972,4.36,25.7
1.3,6,1,1956,17.9,863.61
1.91,2,1,2009,11.67,165.28
0.11,6,2,1987,33.05,335.61
3.12,3,2,1997,38.41,317.69
0.51,5,3,1982,20.24,550.51
3.93,4,3,1959,35.97,114.81
1.46,2,1,1964,36.69,761.26
1.84,5,3,2012,11.38,652.05
3.66,2,1,2014,5.77,547.67
2.12,2,4,1981,15.24,981.82
0.41,3,3,2014,45.91,237.3
3.35,6,2,1969,26.19,237.52
2.97,1,4,1958,49.72,444.22
0.57,4,2,2009,40.89,907.65
1.12,2,3,1967,45.1,456.55
4.14,2,1,1963,37.25,117.07
4.97,1,3,1977,7.03,140.14
1.69,2,1,1950,46.11,213.66
4.19,3,2,2021,39.06,115.22
1.46,2,1,1956,5.98,639.83
4.27,1,2,2001,17.05,522.14
0.61,2,3,1963,10.55,715.99
2.4,1,4,1986,16.23,69.2
2.5,4,2,1993,4.61,212.92
2.02,4,2,1989,6.18,288.27
3.37,6,2,1951,21.44,901.55
3.6,4,2,1992,35.12,318.77
0.56,6,4,2005,36.74,34.48
3.17,2,4,1971,20.58,834.1
2.5,5,3,1987,33.73,867.85
0.33,5,4,2008,9.85,98.99
3.59,6,1,2009,39.19,533.06
2.85,4,3,1987,10.41,499.83
3.99,3,1,1951,38.8,106.86
0.55,6,3,2018,2.74,353.14
0.24,6,3,1985,7.93,443.76
4.83,6,1,1981,32.48,904.97
3.52,1,3,2018,4.57,358.44
2.35,5,3,1972,47.58,411.03
4.71,1,4,1981,8.6,382.4
4.28,4,2,2017,41.21,488.92
2.91,1,4,2012,26.02,889.65
3.63,1,3,1983,10.85,942.18
4.87,3,4,1978,6.43,182.64
4.1,3,1,2001,34.17,944.13
2.31,4,2,1978,46.33,320.51
0.8,1,4,2008,29.84,19.49
3.57,3,2,1974,45.61,331.34
0.5,6,2,2012,29.79,43.27
0.54,3,4,2021,37.13,974.71
1.67,1,3,1976,25.48,530.93
2.74,2,4,1980,37.74,412.16
2.87,2,1,2015,9.45,438.85
2.69,6,1,2000,33.52,143.15
3.02,2,1,1981,5.67,410.19
3.92,4,4,1967,41.89,720.62
0.7,5,1,1985,29.29,33.8
4.18,6,3,1996,21.46,666.08
0.8,5,4,1974,34.59,538.56
2.0,4,3,2001,11.77,143.41
2.37,4,3,1953,40.59,90.59
2.18,4,1,1955,12.97,492.5
1.07,6,2,1959,22.27,508.11
0.67,5,2,1963,17.29,704.11
3.76,1,1,1980,13.65,535.99
1.52,1,1,1991,3.88,912.92
4.74,2,4,1985,34.41,232.16
0.11,6,4,1960,10.17,350.53
4.37,2,1,1990,34.82,927.11
3.15,2,4,2010,3.16,152.01
2.67,3,2,1978,37.69,186.04
4.61,5,2,1967,16.72,716.87
4.01,1,3,1951,35.56,775.38
2.94,1,2,1994,30.27,580.29
3.39,1,4,1996,33.62,611.4
2.88,2,3,1996,14.01,572.45
